gene	CZJE_PBMC	G4YW_CD8_TE	G4YW_MAIT	G4YW_VD2+	G4YW_VD2-	G4YW_TFH	G4YW_Treg	G4YW_Th1	G4YW_Th1/Th17	G4YW_Th17	G4YW_Th2	G4YW_CD4_naive	G4YW_Progenitor	G4YW_B_naive	G4YW_B_NSM	G4YW_B_Ex	G4YW_B_SM	G4YW_Plasmablasts	G4YW_C_mono	G4YW_I_mono	G4YW_NC_mono	G4YW_NK	G4YW_pDC	G4YW_mDC	G4YW_Neutrophils	G4YW_Basophils	DZQV_PBMC	925L_PBMC	9JD4_PBMC	G4YW_PBMC	4DUY_PBMC	36TS_PBMC	CR3L_PBMC
TM7SF2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FGF14-AS2	0	0	0	0	0	0	0	0	0	0	0	0	0.20918	0	0	0.0509861	0	0	0.235035	0.475941	0.119167	0	0	0.203155	0	0	0	0.351255	0	0	0	0	0
USP54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYH11	0	1.62893	1.04175	1.08432	0.551486	0	0	0.93891	0	0.521039	2.89039	0.662111	0.459713	0.455606	0	1.93425	0	0	0	0	0.495681	0.835672	0.854032	1.35052	0	2.21637	0.684003	0	0.339601	0.696481	0.482307	0.356735	0.512417
DDHD1	1.0986	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2581	3.28961	0.425528	0.609485	0.378532	9.63733	3.36264	0	0	6.87787	0	0	0	3.61561	0.28901	1.18533	0	0	0
ADAMTS12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L2HGDH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBBP9	24.34188	34.722931	44.0104	35.7324	34.2607	40.4502	35.52	29.4845	34.6493	37.5848	29.36978	28.9237	57.0294	44.5781	28.3928	23.89265	23.45905	14.30355	40.982	31.1098	16.96972	45.2114	29.7027	23.2177	48.87107	62.6421	27.53848	35.141387	26.46831	21.97017	10.37019	18.8738	28.3013
PJA1	0.193458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NRAP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.72885	0	0	0	0	0	0	0	0	0	0	0
TPD52	0.10802	0.802729	0.568998	2.253217	0.738691	0.912871	0.146486	0.386493	0.080256	0.758517	0.471236	0.3243	1.29865	0.602498	0.81052	0.255499	0.492472	0	0.883215	0.486411	0.973997	0.967795	0.774965	0.738368	1.80386	0.115683	0.519057	0.512422	0.507582	0.173827	0.47149	0.236671	0.501234
TNIK	2.20360702	6.894404	6.681681	2.463376002	3.879317137	4.523031291	3.84221	2.515907499	2.534496	2.2177172	2.247644	2.854156	3.608756	3.498261358	2.4439145	1.842666	3.687877	1.2265127	7.8243111	7.041198	5.087451393	3.623919001	3.351942	3.48314613	26.97506677	9.63164055	3.533228903	3.65726172	5.676089097	4.049815437	4.65995174	4.1635227	4.539275
MPPED2	0	3.56576	0	0	0	0	0	0.701162	0	0	0.861282	0	0	0.262466	0	0	0	0	0.998794	0.850212	1.13618	1.44457	1.47107	0.659118	0.417634	0.809896	1.19215	0.668848	0.289291	0.486746	0.359477	0.534015	1.52575
HK2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC100507477	0	0	0	0	0.089787783	0	0	0	0.702058004	0	1.1815	0.03570135	0.354144224	1.627312433	0	0.063373106	0.0271177	0	0.073271202	1.355422	0.114035601	1.67119	0.046599066	3.1246401	0.705932233	1.49960873	0.673902	0.803597	0.056007452	0.019189127	0.657373	0	3.5211825
LOC101929331	12.2558	27.2034	34.5817	32.7802	29.5712	33.7405	32.4445	28.7822	23.3838	33.9098	28.2007	26.0774	45.1482	33.9191	22.8496	16.777	20.2649	7.55287	23.7811	18.1318	15.3872	35.8748	28.9703	16.3868	31.0776	54.6732	15.5494	25.4598	11.7946	14.4274	11.0032	16.6523	15.4122
TRIM32	1.143774294	2.296635	4.4951021	6.218045	9.094969	3.597923614	4.036865	7.695472738	3.395473	5.337201	4.829936	4.583401289	3.8555084	3.01388927	4.7288841	0.788643	0.529432	0.5538954	18.798298	11.560877	11.050142	11.833046	2.4378437	12.409191	25.42214253	8.33812	4.728698529	7.160045002	1.2508335	17.8703428	6.473027	3.956716	2.979399
SMCHD1	0	5.57005	0	0	0	2.02285	0	0	0	0	0	0	0	0	0	0	0	0	2.99592	0	0	0	0	0	1.74662	0	0	0	1.13775	2.33486	0	0	0
TXLNA	0	0	0.348664	0	0	0	0.314281	0	0	0	0	0	0	0.963497	0	0	0	0	4.08037	2.42946	2.08793	0.294559	0	2.21502	4.69964	0.495993	0.726869	3.54527	0.239831	1.22984	0.338717	2.76976	0
AAMDC	184.262588	120.046682	88.729	68.043737	87.754131	77.878814	76.507469	73.49659142	101.441877	94.61666	87.59763	83.3250047	110.217404	87.94639	64.63523669	66.82114522	60.20614005	12.370589	598.89957	245.2340361	293.575924	132.97256	74.720935	234.736093	726.512566	267.585607	217.717631	218.66309	166.9807708	215.15958	221.981664	171.13942	223.836848
CDHR4	26.785434	13.72697653	9.097909	12.362117	11.225867	21.584351	22.476522	13.00862652	16.84289629	17.70462	21.77774022	22.61582	16.144921	10.547716	12.62283741	12.4643757	8.043505	2.706976633	38.642935	15.965143	10.871154	7.962456	11.964547	19.480055	34.88084434	23.26126385	20.88019109	30.108258	21.757717	27.3719278	23.10949107	13.3916295	16.296776
FXR1	137.26515	2.1495963	1.972845	0.61236	2.728973	1.138036	0.38726	1.21357	1.145743	2.897993	0.608255	0.862083	35.59169	23.51146273	19.88553	20.43968	9.145944	3.243	358.6098	134.66114	73.49365	0.423725	33.57404	76.67285	316.48337	18.58712	102.90218	94.65124	70.77913494	150.7418	83.84651	141.49696	103.8019
LOC101927973	7.55897	0	0	0	0	0	0	0	0	0	0	0	2.68928	0	2.35351	0.204898	1.32538	0	22.9386	4.69989	4.19883	0	2.93802	4.53064	20.3257	2.22965	8.41646	11.1033	2.52865	5.93577	2.54238	2.46105	1.34522
NFIA-AS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.619851	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAPSB	39.112802	18.492381	0.709947	2.412639	19.75589738	6.26703329	15.06356	13.947438	1.098276	3.9723392	3.517987	23.030017	64.15033	62.27157	14.617322	44.42017	10.756892	336.4363	8.11291	8.753909	2.672967	121.14013	28.39194	17.629433	4.196091	2.494839	44.06528	15.330128	25.620246	26.83298	58.81106	20.2683	38.060971
CTSG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNAP91	0.869781	0.880906	0	0	1.01078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.349538	0.143621	0	0	0
FSCN2	159.036	918.0156	4.67734	199.564	732.0003	9.61681	4.92241	8.99842	5.152384258	2.1842781	5.45377	6.45939	16.9703	17.6406	11.49780111	9.05571	14.3417	1.42384	0	15.248	3.03007	1008.24	0	0	0.538336	3.69481	148.00978	193.069	149.711	184.39268	88.6639	168.715	92.359
WFDC3	0.384322	0.7750589	0	0	0.349772	0.0333803	0	0	0.0272667	0	0.0639753	0	188.50338	0.0256757	0	0	0	0	0	0.0276084	0.0275884	0.320552	0	0.294131	0	0.581981	0.513950002	0	0	0	0	1.0574448	0
LOC101928823	19.335178	13.392345	22.736422	11.553696	13.80541	34.467395	39.306593	23.586863	14.552944	15.018709	19.505972	27.31438	28.3448651	117.44175	18.1786181	20.724871	11.207371	3.7561103	18.034575	9.708394	12.074569	15.891534	32.336196	18.041571	23.55080901	18.046834	14.258732	32.502039	14.44503	13.61101721	18.006494	13.887193	14.940708
ZBTB8OS	3.12391	2.64015	0	0	0.66964	3.63588	0	0	0	2.5329	0	0.805232	1.11503	1.10456	0	0	0.608622	0	1.62015	1.19881	0	0	0.517446	0	0	0	0.413026	0.9377	1.23431	1.2654	0	0.431669	0
PITX2	1.29106	2.43943	3.912437	2.21467	2.936096	3.841491	3.81409	1.640968	1.8578	2.65779	3.675724	2.636449	14.173257	15.964305	2.926644	1.00745	1.10818	0.20186	4.473483	0.829956	0.486958	0.771132	2.238036	1.596121	0.898137	1.329603	1.419632	3.870859	3.761466	2.04411	2.47442	3.59754	2.325822
RALY-AS1	0	0	5.40E-07	0	0	0	0	0	0	0	0	1.7923	0.0126189	0	0.317118	0.289654	0.572024	0	0	0	1.19076	0	0	0	0	0	0.788997	0	0	2.53323	0.745762	0	0
PRDM9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TYW1B	0.0835974	0	0.180283	0.185931	0.201616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.191154	0	0	0	0	0	0	0	0
ZSCAN12	0.354404	1.79331	0.545763	0	0.721372	0.658655	1.47713	0	0	1.14674	0.636168	0.728984	2.57334	0	0.543201	1.27649	0.551557	0.787293	0	0.542887	0.544959	2.2969	0.469669	0	0	1.87879	0	0	1.11952	0	0	0	0.563924
ZNF45	3.347971	0.368959	0	1.9510819	0.442782	0	0	0	0	0	0	0	1.24478	0	0	0	1.540349	0	0	0	0	29.546101	0	0	0	0	0.238052	0.527902	0	1.1211089	0.965986	0.303602	0.396198
PPP4R1L	0	0	0	0	2.8276	1.22784	0.917059	0.481502	0.501375	1.60294	0	0	1.88582	0	0.506348	0	1.54182	0.244798	0.913035	0	1.01552	1.7138	0.43794	0.923271	0	2.89346	0.350261	1.18987	0.348138	0.357016	0	0.365611	0
MYH15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYBRD1	0	0.0843025	0	0.0847797	0.0860056	0.185217	0	0	0	0	0.268518	0	0.145128	0	0	0	0	0	0.0699098	0	0	0.131324	0	0	0	0.10987	0.0547938	0.0608416	0	0.0575594	0	0	0
RCSD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.66583	0	0	0	0	0	0	0	0	0	0
LINC01204	0	0	0	0	0	0	0	0	0	0.342409	0	0	0	0	0	0	0	0	0	0.64893	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM115	34.522097	21.936764	34.884455	27.620625	48.653063	44.56463	38.47328	33.302149	31.129035	35.87979	44.640707	44.590436	48.344569	12.45386	31.855764	22.415597	28.128093	12.0726707	29.31118	58.72527	51.443086	34.652968	143.345849	50.68833	1.015746	0.991184	34.463811	35.10199	33.19193	37.940972	44.940508	16.522393	42.287437
PCIF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MED16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.659071	0.193285	0	0	0	0
DNAJA4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZEB1	97.121163	59.69116	52.55779	49.97243	65.83760601	46.252809	49.730711	54.548261	49.86865503	61.234315	53.74777	45.02337	77.327094	41.122301	45.68011145	71.816315	45.13303	92.375794	201.701488	178.442611	131.102308	63.782553	284.129707	234.752237	43.98722	57.126406	291.122141	68.584937	95.744939	88.080985	86.582002	105.225682	79.14136599
SOWAHD	0.288633	1.43648	0	0.240126	0	0.526697	0.394964	0.207957	0.864725	0.920463	0.254507	0.291754	0.819161	0	1.09213	0.343452	0	0.426078	0.790881	0.436543	0.656088	0	1.51575	2.58533	1.36423	0	0.461034	0.343872	0.15129	0	0	0	0.451043
LPA	33.905	33.26439	20.7098	23.81263	24.27439	27.221401	23.987529	20.22091	28.49189	30.7711	23.10391994	34.55257	36.95836	18.82446	19.77642178	18.34793	16.78116	6.32974	25.68779	22.91398	17.70004	18.31325	22.7868	21.9963	22.5989	14.897373	18.16246	25.58643	24.172406	24.05623	18.69831	21.461549	19.40939
LOC146880	0.0882874	0.0910202	0.0786418	0.0444173	0.0471444	0.12464	0.0203253	0.111183	0.0593667	0.12257	0.0477677	0.0776793	0.242348	0.150918	0.163454	0.0154164	0.0893281	0.00944837	0.071045	0.0806706	0.155184	0.122083	0.0524627	0	0.363404	0.137739	0.0700191	0.125592	0.0860506	0.171187	0.129196	0.0781175	0.0572424
TNFRSF19	22.58453	57.66815	31.24833	32.71315	36.60687	51.394	36.51378	37.19925	32.51184	40.86886	45.84323	37.93832	63.21306	25.48402	31.40336	19.82237	22.60151	7.73832	10.81322	15.1812	17.42791	38.54573	30.27061	18.9629	8.49818	36.797928	15.87474	20.36715	23.46636	19.17057	16.2867	25.69169	21.6435129
LOC100130705	0.0271885	1.544412	0.3673167	0.702365	0.6735392	0.5037022	4.169641	1.780565	0.364821	2.073974	0.945845	1.1294242	0.647879	0.227084	0.446591	1.734862	1.221947	2.274813	0.777995	0.217831	0.646974	0.836858	2.189414	1.0199889	0	1.052681	1.387335	0.0267937	1.271571	0.582807	2.956741915	1.378531	0
FLYWCH2	17.500619	12.506769	15.487868	27.485633	18.78306098	10.655084	18.1155824	6.842202701	17.258766	13.457197	8.164598	18.004434	13.402314	16.45303701	15.106095	7.642339198	9.769848	12.949292	26.54196339	21.424411	17.497739	22.002141	17.16572005	17.80053394	4.756608	32.542236	13.79042932	17.16556011	13.180745	24.07303073	13.989017	16.612363	24.978813
RINT1	1.6128	0.996843	1.67264	1.16783	0	1.10909	0.548199	0.144469	0.300187	1.1183	0	0	0	0	0.606498	1.07424	0	0.667786	1.64938	0.937331	0.60736	1.93604	0.263301	1.10483	0.315857	0.432789	0.750749	1.5315	0.21052	1.22175	0.441638	2.31923	0.625691
RIOK3	2.4577	3.46343	3.5165	5.90107	7.70623	3.45576	7.87122	1.20129	3.50842	6.87985	4.68434	4.05194	8.26897	5.74399	4.34351	0.367082	3.64006	1.42186	7.39785	4.02851	4.69223	10.8528	8.21808	2.72333	6.36516	5.33376	2.88762	2.61292	3.82822	2.40341	2.7824	1.22601	4.89363
FSTL5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LRRC37BP1	1.46948	5.52003	4.11227	2.46331	2.16047	8.15973	3.99307	2.60194	4.46251	2.88193	2.60967	2.5902	3.07122	4.28698	3.08116	0.789559	3.16082	0.379772	1.00735	2.2851	1.57008	1.89651	0	3.027	2.13893	2.84411	1.30849	1.42954	1.14653	0.797919	0	1.31919	2.32812
SSSCA1-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LRRC71	0	0	0	0	0	0	2.50058	1.3093	0	0	0	0	0.639071	0	0	1.61521	0	0	0	0	0	0	0	0	1.4323	0	0	0	0	0	0	0	0
ME2	0	0	0	0	0	0.214563	0	0	0.170601	0.564491	0.200682	0.169984	0	0	0.361364	0	0.350163	0	0	0	0	0	0	0	0.239402	0	0.121708	0.135828	0	0.124607	0	0	0
AGGF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTC41P	0	0	1.05144	0.572197	0	0	0.963652	0.970134	0	0	3.65573	0	0	0	0.521856	0	0	0	0	0.819351	0	0.466624	0	0	0	0	0.368373	0	0.354321	0.577907	0	0.374115	0
METTL8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCEAL2	0.31108	0	0	0	0	0	0	0.224275	0	0	0	0	0	0	0	0	0	0	0.213212	0	0.0907872	0	0	0	0	0	0.06593056	0	0	0	0	0	0
RPS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COX19	15.13262686	13.74063306	22.3001677	10.039068	12.58220728	23.28898575	35.2204207	22.21626577	21.4340408	9.194144	15.62945301	12.22559181	16.66750246	7.846751269	13.7527152	7.799898	8.3154517	2.924197977	13.78952664	17.191262	11.17148701	15.9411916	31.24831622	12.82561295	0.934113647	3.315064	11.457969	18.655113	15.62502143	14.88659816	15.00289925	10.19461512	7.199876
SPG20-AS1	0.312502	0.352239507	0.645751	1.4056716	0.2379854	0.58044921	0.6539858	0.781786	0.843662	0.185019	0.476298	0.546365	2.31915	0.495179	0	0.461462	0	0.172756	0.385848	0.3558582	0.3565514	0.149865	0.8287693	0	0	0.250645	1.130908	1.38871	0.896729	0.376961	0.8285527	0.2591385	0.422199
SYT11	0	0	0	0	0	0	0	0	0	0	0	1.35755	0.31604	0	0	0	2.40068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRKAG2-AS1	0	0	0	0	0	0	0	0	0	0	1.05055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.698395	0	0	0	0	0
CC2D2B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZC3H10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPO9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PTRH2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TOLLIP-AS1	0.55345	0.557109	0.655734	0.574852	0.455445	0.523561	0.376493	0.348108	0.516337	0.328253	0.345825	0.380662	0.339524	0.531636	0.259531	0.160204	0.301445	0.018341	2.01703	0.373822	0.197898	0.470267	0.082604	0.614547	0.406865	0.639879	0.263183	0.892347	0.429437	0.511955	0.311277	0.453005	0.760908
VIP	0.414208	0.680162	1.52265	0.380067	0.462643	0.747122	0.561243	0.329136	0.341691	0.43627	0.4814	0.276095	0.390446	0.897993	0.414076	0.326381	0.279536	0.373188	0.313435	0.2071	0.483768	0.765429	0.179993	0.251484	1.00715	0.394002	0.39325	0.272791	0.384315	0.444239	0.0668929	0.201593	0.142238
CD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCYOX1L	1.2438953	0.171372	1.2973598	0.542276	1.839256	0.645973	0.7447869	2.456906	2.10925	0.9610887	4.198683	2.453622	8.328316	0.456983	0.250059	0.110466	0.15904	0.019663	0.5569254	1.0117359	0.126379	0.325032	4.259021	1.63853	0.987987	0.615255	0.146682	2.104501	1.304585	0.200847	0.297968	0.6109509	0.1220145
SNORA40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.32444	0	0	0	0	0
CEP97	0.48997	0	0	0.826571	0.844545	2.01155	0	0	0	1.63499	1.30379	0	0.735976	0	0.895216	0	1.35433	0	0	0	0	0.688372	0	1.55899	0	1.09364	0	0	0	0	0	0	0
DGKD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.228333	0.22880436	0	0	0	0	0	0	0	0.632915	0	0	0	0
TP53AIP1	0	0	0	0	0	0	0	0.803483	0	0	0	0	0	0	0	0	0.821666	0	0	0	0	0.347784	0.706358	0	0.415377	0	0	0	0.305096	0	0	0.290229	0
TP73-AS1	0.386995	1.79092	1.40625	0.903266	2.90073	1.20079	0.541628	1.22826	1.11736	1.84588	1.60505	0.885532	1.17684	0.869415	0.956373	1.46657	0.547196	0.272993	0.984088	0.661462	0.694211	2.2224	0.366143	1.22552	1.09008	2.38313	0.939423	1.25323	0.616017	1.09405	1.02003	0.991442	1.84998
PWARSN	0.470308	0	0.359581	0	0.800345	1.29926	1.94463	0.340754	0.70917	1.13336	0.4185	0.479406	0.334588	0	0	0.281175	0	0.347536	0.647274	0.71584	0	0.303712	0.930581	0.326343	0.745503	2.55753	0.249697	0	0.247217	0.507082	0	0.259583	0
LINC00900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBASH3B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C9orf16	0.678315	0.407733	0.755447	0	0.384527	0.864219	0	1.71003	0	0	0	0	0	0	2.40967	0	0.57544	0.334136	0.344607	0.363457	0	1.4596	0.298144	0.940812	0.376334	1.03745	0.548112	0	0	0.278725	0.335654	0.74868	0
LOC728175	1.20243	3.1088	1.63311	4.14165	2.07315	1.95946	0.943594	2.06165	2.29638	1.30556	0	1.56241	3.22869	7.88955	0.682018	2.50871	0.773909	0.213879	0.404217	0.0322495	0	4.50231	2.17606	0.0588535	1.74698	0.237717	0.744769	0	0.237674	1.03744	1.21017	0.886023	1.19923
TSHZ3	0	0.0203882	0.0373575	0.0625677	0	0.0447701	0.0168263	0	0.0198603	0	0.0432739	0.0248247	0	0	0	0	0	0.00918159	0	0	0	0	0	0	0.0582735	0.0266492	0.0532922	1.0287612	0.207775	0	0.2306665	0.4358762	0.0191808
RPS15AP10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC102724601	115.661297	152.62416	125.41633	114.38362	118.255675	143.55739	124.23097	127.499306	140.36369	156.815777	130.0397818	138.72116	172.18005	117.2134	106.54467	95.202884	110.02583	42.830793	117.136226	90.54822	109.0953883	142.599616	130.049575	136.286642	39.300957	245.1059222	90.860325	122.219622	95.169546	113.719447	137.674235	103.554703	124.484416
GNA13	90.9516	9.48491	12.787	18.6698	9.75949	15.1815	38.6619	37.1668	0	36.7495	35.3923	28.6624	28.5342	35.1295	46.4338	6.58951	13.0483	0	19.6405	39.1501	26.556	10.9055	7.4072	7.73092	9.21935	110.658	21.0992	51.4201	32.5906	17.9989	53.4549	36.8618	22.2322
C19orf33	0	0	1.4371	15.2125	1.59481	5.16883	4.3201	0	0	1.50537	5.01272	6.07534	17.9513	1.29882	2.83087	4.43404	0	0.678393	3.83057	2.8642	1.43717	1.20164	4.9248	1.2973	0	4.0803	4.7943	0	0	0.994692	0	3.05548	2.95935
FAM86B3P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAXBP1-AS1	0.617729	0.90382	0.482497	1.06878	0.881557	1.44528	1.26793	0.730599	0.636342	1.37042	1.0216	0.764179	1.56256	0.757266	0.549182	0.442106	0.970119	0.29229	0.683998	0.978697	1.2761	1.15723	0.863306	0.426884	0.827255	1.19222	0.387562	0.686634	0.374166	0.401182	0.486828	0.264379	0.0815383
GPR158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HCG27	0.104033	0	0	0.172622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.152395	0	0
STAG3L5P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B3GNT7	1.828743	0.200223	0.336171	0.240285	0.0259253	0.212812	0.116865	0.110589	0.137984	0.164759	0.156061	0.15107	3.912426	0.814723	1.2301962	0.2165308	0.355294	0.1831034	15.292385	3.960849	1.846534	0.129694	2.588546	3.741213	2.630714	0.130163	5.730679	2.3053171	2.409851	3.506477	1.751335	2.46997	1.31760829
OSMR-AS1	0.1224	0	0	0	0	0	0	0	0	0	0	0.121919	0	0	0	0	0	0	0.199657	0	0	0	0	0	0.133558	0	0	0.0434545	0.0255111	0	0	0	0
DSEL	8.281587	14.380732	10.605709	13.779992	14.53141	23.00566	14.2689	17.650247	18.3403	18.11692	19.18069	17.93577	30.1382	21.28456	12.61634	10.530806	10.245035	5.714763	14.37211	18.737889	15.069465	20.15747	12.53982	10.037339	5.339278	14.221664	12.8587	12.370076	12.11311	14.52058	16.424474	12.587352	10.49467
EDAR	8.95085	13.97225	11.98642	13.43257	13.12916	17.09467	12.64666	10.85634	12.40114	10.46572	19.34104	19.46298	13.65961	17.04635	11.94764	3.97962	8.58122	3.74744	11.13158	7.24556	4.78184	20.41747	12.06737	5.13262	13.09392	24.36885	8.74319	17.15416	8.77675	18.53005	8.84203	4.69447	5.83143
TMEM251	0	0.656232	0.615093	1.31822	0	1.92444	1.57984	0	0	0.568155	0.641246	0.219329	0.350851	0	0	0.960895	1.26656	0.10589	0	0.389754	0.0994247	1.21282	0	0	0	0.333959	1.27121	0.982304	0.00242439	0	0.211509	0	0
EGLN3	0	1.32416	2.01819	1.32418	0.897879	1.45875	2.18241	1.52934	3.18257	1.69579	2.82006	2.15294	1.87514	1.11403	1.2057	0.630525	0.40771	0.194761	1.08855	0	0	1.02167	0	0.366207	5.01787	2.29555	0.279476	0.315134	0.831386	0	0.392132	0.582055	0.832617
SNX21	3.68695	1.72294	1.7813	1.63895	2.8332	2.91152	2.67758	3.40044	1.18765	2.22	3.32323	1.66107	2.14162	2.13524	3.59762	1.47415	3.38462	2.44361	1.2148	1.09961	0.685767	1.0399	1.10271	1.9042	0.250097	0.225577	3.94597	3.34946	3.43745	1.66876	1.78465	2.70529	2.18813
PCDHGB3	0	0	0	4.89168	10.1233	0	0	0	0	0	0	6.0297	4.25116	4.47541	4.45425	0	0	0	0	0	9.379	23.0703	7.84127	0	0	0	3.16906	0	0	0	8.62929	0	0
RBM24	10.3438347	14.921401	20.017164	11.06623	11.834517	13.335634	18.488203	10.360645	13.3062	20.930311	16.12075	16.41725	13.39098	10.596067	13.870513	7.600412	12.997794	3.198594	7.895323	6.221402	9.257849	8.343291	9.943279	10.6961226	2.225373	4.695437	8.139389	5.5906389	7.585189	7.953732	10.02849	8.891405	7.35374
DNAI1	28.30240427	43.23935	40.971094	32.401892	55.093666	42.711822	41.679978	58.114833	45.16439	45.102618	43.119018	50.59594	53.133934	34.919403	41.888996	36.619638	41.21718	13.452417	41.570903	32.43891	61.23763	52.44993	48.42453	24.683791	13.15299	57.170091	29.308228	28.7567526	33.889408	40.265103	42.918273	20.789658	41.092243
DDX46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927196	0	0	0.549739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101929231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHST2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
